RUC21NM,n,mean_exclusion,mean_access,mean_health,mean_income,mean_premises
Larger rural: Further from a major town or city,57,2.5904627750951708,895.8947368421053,1011.4035087719299,837.6315789473684,857.0175438596491
Smaller rural: Further from a major town or city,97,18.285772580250082,113.69072164948453,1492.8659793814434,1309.2061855670104,813.7113402061856
Smaller rural: Nearer to a major town or city,3,6.71901508582785,187,1708.3333333333333,1536.3333333333333,795.6666666666666
